x          y          z          psi        time
0.0        0.0        0.0        0.0        1754438003.2288368
0.0        0.0        0.0        0.0        1754438003.2288368
0.0        0.0        0.0        0.0        1754438003.229836
0.0        0.0        0.0        0.0        1754438003.229836
0.0        0.0        0.0        0.0        1754438003.2358804
0.0        0.0        0.0        0.0        1754438003.2378364
0.0        0.0        0.0        0.0        1754438003.238835
0.0        0.0        0.0        0.0        1754438003.238835
0.0        0.0        0.0        0.0        1754438003.2398367
0.0        0.0        0.0        0.0        1754438003.2398367
0.0        0.0        0.0        0.0        1754438003.2408757
0.0        0.0        0.0        0.0        1754438003.2408757
0.0        0.0        0.0        0.0        1754438003.2408757
0.0        0.0        0.0        0.0        1754438003.2418737
0.0        0.0        0.0        0.0        1754438003.2418737
0.0        0.0        0.0        0.0        1754438003.2418737
0.0        0.0        0.0        0.0        1754438003.2429485
0.0        0.0        0.0        0.0        1754438003.2439582
0.0        0.0        0.0        0.0        1754438003.2459588
0.0        0.0        0.0        0.0        1754438003.2459588
0.0        0.0        0.0        0.0        1754438003.25305
0.0        0.0        0.0        0.0        1754438003.2559717
0.0        0.0        0.0        0.0        1754438003.2569609
0.0        0.0        0.0        0.0        1754438003.257994
0.0        0.0        0.0        0.0        1754438003.257994
0.0        0.0        0.0        0.0        1754438003.257994
0.0        0.0        0.0        0.0        1754438003.2590024
0.0        0.0        0.0        0.0        1754438003.2590024
0.0        0.0        0.0        0.0        1754438003.2599602
0.0        0.0        0.0        0.0        1754438003.2606826
0.0        0.0        0.0        0.0        1754438003.2609766
0.0        0.0        0.0        0.0        1754438003.2609766
0.0        0.0        0.0        0.0        1754438003.2619572
0.0        0.0        0.0        0.0        1754438003.2619572
0.0        0.0        0.0        0.0        1754438003.2619572
0.0        0.0        0.0        0.0        1754438003.26296
0.0        0.0        0.0        0.0        1754438003.2689803
0.0        0.0        0.0        0.0        1754438003.27096
0.0        0.0        0.0        0.0        1754438003.2719657
0.0        0.0        0.0        0.0        1754438003.2719657
0.0        0.0        0.0        0.0        1754438003.2729585
0.0        0.0        0.0        0.0        1754438003.2739615
0.0        0.0        0.0        0.0        1754438003.2745006
0.0        0.0        0.0        0.0        1754438003.2749662
0.0        0.0        0.0        0.0        1754438003.2749662
0.0        0.0        0.0        0.0        1754438003.2759655
0.0        0.0        0.0        0.0        1754438003.2769623
0.0        0.0        0.0        0.0        1754438003.2769623
0.0        0.0        0.0        0.0        1754438003.2779605
0.0        0.0        0.0        0.0        1754438003.278959
0.0        0.0        0.0        0.0        1754438003.2839663
0.0        0.0        0.0        0.0        1754438003.2869685
0.0        0.0        0.0        0.0        1754438003.2889974
0.0        0.0        0.0        0.0        1754438003.2899668
0.0        0.0        0.0        0.0        1754438003.2909598
0.0        0.0        0.0        0.0        1754438003.2909598
0.0        0.0        0.0        0.0        1754438003.2919793
0.0        0.0        0.0        0.0        1754438003.2929614
0.0        0.0        0.0        0.0        1754438003.2929614
0.0        0.0        0.0        0.0        1754438003.2929614
0.0        0.0        0.0        0.0        1754438003.294
0.0        0.0        0.0        0.0        1754438003.294
0.0        0.0        0.0        0.0        1754438003.294
0.0        0.0        0.0        0.0        1754438003.2949932
0.0        0.0        0.0        0.0        1754438003.2949932
0.0        0.0        0.0        0.0        1754438003.2949932
0.0        0.0        0.0        0.0        1754438003.295995
0.0        0.0        0.0        0.0        1754438003.295995
0.0        0.0        0.0        0.0        1754438003.295995
0.0        0.0        0.0        0.0        1754438003.301976
0.0        0.0        0.0        0.0        1754438003.3039675
0.0        0.0        0.0        0.0        1754438003.3039675
0.0        0.0        0.0        0.0        1754438003.3049653
0.0        0.0        0.0        0.0        1754438003.3049653
0.0        0.0        0.0        0.0        1754438003.3059638
0.0        0.0        0.0        0.0        1754438003.3059638
0.0        0.0        0.0        0.0        1754438003.3059638
0.0        0.0        0.0        0.0        1754438003.3069644
0.0        0.0        0.0        0.0        1754438003.3079596
0.0        0.0        0.0        0.0        1754438003.3079596
0.0        0.0        0.0        0.0        1754438003.3089628
0.0        0.0        0.0        0.0        1754438003.3089628
0.0        0.0        0.0        0.0        1754438003.30996
0.0        0.0        0.0        0.0        1754438003.310962
0.0        0.0        0.0        0.0        1754438003.3130684
0.0        0.0        0.0        0.0        1754438003.3130684
0.0        0.0        0.0        0.0        1754438003.3170204
0.0        0.0        0.0        0.0        1754438003.3199658
0.0        0.0        0.0        0.0        1754438003.3209631
0.0        0.0        0.0        0.0        1754438003.321965
0.0        0.0        0.0        0.0        1754438003.322999
0.0        0.0        0.0        0.0        1754438003.322999
0.0        0.0        0.0        0.0        1754438003.3239613
0.0        0.0        0.0        0.0        1754438003.3249633
0.0        0.0        0.0        0.0        1754438003.3249633
0.0        0.0        0.0        0.0        1754438003.3249633
0.0        0.0        0.0        0.0        1754438003.3249633
0.0        0.0        0.0        0.0        1754438003.325996
0.0        0.0        0.0        0.0        1754438003.325996
0.0        0.0        0.0        0.0        1754438003.325996
0.0        0.0        0.0        0.0        1754438003.3269591
0.0        0.0        0.0        0.0        1754438003.329069
0.0        0.0        0.0        0.0        1754438003.329962
0.0        0.0        0.0        0.0        1754438003.329962
0.0        0.0        0.0        0.0        1754438003.3340125
0.0        0.0        0.0        0.0        1754438003.3349605
0.0        0.0        0.0        0.0        1754438003.3359613
0.0        0.0        0.0        0.0        1754438003.3369586
0.0        0.0        0.0        0.0        1754438003.3379738
0.0        0.0        0.0        0.0        1754438003.3389788
0.0        0.0        0.0        0.0        1754438003.3399615
0.0        0.0        0.0        0.0        1754438003.3399615
0.0        0.0        0.0        0.0        1754438003.3399615
0.0        0.0        0.0        0.0        1754438003.340962
0.0        0.0        0.0        0.0        1754438003.3420641
0.0        0.0        0.0        0.0        1754438003.3420641
0.0        0.0        0.0        0.0        1754438003.3429632
0.0        0.0        0.0        0.0        1754438003.3440678
0.0        0.0        0.0        0.0        1754438003.3449616
0.0        0.0        0.0        0.0        1754438003.3489983
0.0        0.0        0.0        0.0        1754438003.3519711
0.0        0.0        0.0        0.0        1754438003.3540337
0.0        0.0        0.0        0.0        1754438003.3549678
0.0        0.0        0.0        0.0        1754438003.3559647
0.0        0.0        0.0        0.0        1754438003.3569736
0.0        0.0        0.0        0.0        1754438003.3569736
0.0        0.0        0.0        0.0        1754438003.357965
0.0        0.0        0.0        0.0        1754438003.35897
0.0        0.0        0.0        0.0        1754438003.35897
0.0        0.0        0.0        0.0        1754438003.35897
0.0        0.0        0.0        0.0        1754438003.3599622
0.0        0.0        0.0        0.0        1754438003.3599622
0.0        0.0        0.0        0.0        1754438003.3599622
0.0        0.0        0.0        0.0        1754438003.3609614
0.0        0.0        0.0        0.0        1754438003.3620749
0.0        0.0        0.0        0.0        1754438003.3620749
0.0        0.0        0.0        0.0        1754438003.3629632
0.0        0.0        0.0        0.0        1754438003.3679924
0.0        0.0        0.0        0.0        1754438003.3707812
0.0        0.0        0.0        0.0        1754438003.371788
0.0        0.0        0.0        0.0        1754438003.372785
0.0        0.0        0.0        0.0        1754438003.37378
0.0        0.0        0.0        0.0        1754438003.37378
0.0        0.0        0.0        0.0        1754438003.374779
0.0        0.0        0.0        0.0        1754438003.374779
0.0        0.0        0.0        0.0        1754438003.374779
0.0        0.0        0.0        0.0        1754438003.375779
0.0        0.0        0.0        0.0        1754438003.375779
0.0        0.0        0.0        0.0        1754438003.375779
0.0        0.0        0.0        0.0        1754438003.376779
0.0        0.0        0.0        0.0        1754438003.376779
